code,name,archive_tag,ticker,hsi_from_archive,hscei_from_list,label,correct_label
1066,WEIGAO GROUP,N/A,1066.HK,N,N,N/A,
1070,TCL ELECTRONICS,N/A,1070.HK,N,N,N/A,
1071,HUADIAN POWER,N/A,1071.HK,N,N,N/A,
1072,DONGFANG ELEC,N/A,1072.HK,N,N,N/A,
1088,CHINA SHENHUA,HSI,1088.HK,Y,Y,BOTH,
1093,CSPC PHARMA,HSI,1093.HK,Y,Y,BOTH,
1099,SINOPHARM,N/A,1099.HK,N,N,N/A,
1104,APAC RESOURCES,N/A,1104.HK,N,N,N/A,
1109,CHINA RES LAND,HSI,1109.HK,Y,Y,BOTH,
1112,H&H INTL HLDG,N/A,1112.HK,N,N,N/A,
1113,CK ASSET,HSI,1113.HK,Y,N,HSI,
1114,BRILLIANCE CHI,N/A,1114.HK,N,N,N/A,
1115,5100 XIZANG,N/A,1115.HK,N,N,N/A,
1117,CH MODERN D,N/A,1117.HK,N,N,N/A,
1128,WYNN MACAU,N/A,1128.HK,N,N,N/A,
1133,HARBIN ELECTRIC,N/A,1133.HK,N,N,N/A,
1138,COSCO SHIP ENGY,N/A,1138.HK,N,N,N/A,
1141,CMBC CAPITAL,N/A,1141.HK,N,N,N/A,
1142,E&P GLOBAL,N/A,1142.HK,N,N,N/A,
1157,ZOOMLION,N/A,1157.HK,N,N,N/A,
1164,CGN MINING,N/A,1164.HK,N,N,N/A,
1167,JACOBIO-B,N/A,1167.HK,N,N,N/A,
1171,YANKUANG ENERGY,N/A,1171.HK,N,N,N/A,
1177,SBP GROUP,N/A,1177.HK,N,N,N/A,
1179,HWORLD-S,N/A,1179.HK,N,N,N/A,
1186,CHINA RAIL CONS,N/A,1186.HK,N,N,N/A,
1187,COFOE MEDICAL,N/A,1187.HK,N,N,N/A,
1193,CHINA RES GAS,N/A,1193.HK,N,N,N/A,
1196,REALORD GROUP,N/A,1196.HK,N,N,N/A,
1200,MIDLAND HOLDING,N/A,1200.HK,N,N,N/A,
1208,MMG,N/A,1208.HK,N,N,N/A,
1209,CHINA RES MIXC,N/A,1209.HK,N,N,N/A,
1211,BYD COMPANY,HSI,1211.HK,Y,Y,BOTH,
1258,CHINFMINING,N/A,1258.HK,N,N,N/A,
1276,HENGRUI PHARMA,N/A,1276.HK,N,N,N/A,
1277,KINETIC DEV,N/A,1277.HK,N,N,N/A,
1282,RENZE HARVEST,N/A,1282.HK,N,N,N/A,
1286,IMPRO PRECISION,N/A,1286.HK,N,N,N/A,
1288,ABC,HSI,1288.HK,Y,Y,BOTH,
1299,AIA,HSI,1299.HK,Y,N,HSI,
1300,TRIGIANT,N/A,1300.HK,N,N,N/A,
1302,LIFETECH SCI,N/A,1302.HK,N,N,N/A,
1304,FORTIOR,N/A,1304.HK,N,N,N/A,
1308,SITC,N/A,1308.HK,N,N,N/A,
1310,HKBN,N/A,1310.HK,N,N,N/A,
1313,CR BLDG MAT TEC,N/A,1313.HK,N,N,N/A,
1316,NEXTEER,N/A,1316.HK,N,N,N/A,
1318,MAO GEPING,N/A,1318.HK,N,N,N/A,
1333,BRETON,N/A,1333.HK,N,N,N/A,
1336,NCI,N/A,1336.HK,N,N,N/A,
1339,PICC GROUP,N/A,1339.HK,N,N,N/A,
1347,HUA HONG SEMI,N/A,1347.HK,N,N,N/A,
1357,MEITU,N/A,1357.HK,N,N,N/A,
1359,CHINA CINDA,N/A,1359.HK,N,N,N/A,
1361,361 DEGREES,N/A,1361.HK,N,N,N/A,
1364,GUMING,N/A,1364.HK,N,N,N/A,
1368,XTEP INT'L,N/A,1368.HK,N,N,N/A,
1375,CC SECURITIES,N/A,1375.HK,N,N,N/A,
1378,CHINAHONGQIAO,HSI,1378.HK,Y,Y,BOTH,
1384,DEEPEXI TECH,N/A,1384.HK,N,N,N/A,
1385,SHANGHAI FUDAN,N/A,1385.HK,N,N,N/A,
1396,GD-HKGBA HLDGS,N/A,1396.HK,N,N,N/A,
1398,ICBC,HSI,1398.HK,Y,Y,BOTH,
1405,DPC DASH,N/A,1405.HK,N,N,N/A,
1415,COWELL,N/A,1415.HK,N,N,N/A,
1428,BRIGHT SMART,N/A,1428.HK,N,N,N/A,
1440,STAR SHINE HLDG,N/A,1440.HK,N,N,N/A,
1456,GLMS SEC,N/A,1456.HK,N,N,N/A,
1478,Q TECH,N/A,1478.HK,N,N,N/A,
1508,CHINA RE,N/A,1508.HK,N,N,N/A,
1513,LIVZON PHARMA,N/A,1513.HK,N,N,N/A,
1519,J&T EXPRESS-W,N/A,1519.HK,N,N,N/A,
1523,PLOVER BAY TECH,N/A,1523.HK,N,N,N/A,
1528,RS MACALLINE,N/A,1528.HK,N,N,N/A,
1530,3SBIO,N/A,1530.HK,N,N,N/A,
1548,GENSCRIPT BIO,N/A,1548.HK,N,N,N/A,
1579,YIHAI INTL,N/A,1579.HK,N,N,N/A,
1585,YADEA,N/A,1585.HK,N,N,N/A,
1606,CDB LEASING,N/A,1606.HK,N,N,N/A,
1609,STAR SPORTS MED,N/A,1609.HK,N,N,N/A,
1610,COFCO JOYCOME,N/A,1610.HK,N,N,N/A,
1617,NANFANG COMM,N/A,1617.HK,N,N,N/A,
1618,MCC,N/A,1618.HK,N,N,N/A,
1626,JIA YAO HLDGS,N/A,1626.HK,N,N,N/A,
1635,DZUG,N/A,1635.HK,N,N,N/A,
1645,HAINA INTEL,N/A,1645.HK,N,N,N/A,
1651,TSUGAMI CHINA,N/A,1651.HK,N,N,N/A,
1658,PSBC,HSI,1658.HK,Y,Y,BOTH,
1672,ASCLETIS-B,N/A,1672.HK,N,N,N/A,
1675,ASIAINFO TECH,N/A,1675.HK,N,N,N/A,
1681,CONSUN PHARMA,N/A,1681.HK,N,N,N/A,
1686,SUNEVISION,N/A,1686.HK,N,N,N/A,
1698,TME-SW,N/A,1698.HK,N,N,N/A,
1709,DL HOLDINGS GP,N/A,1709.HK,N,N,N/A,
1712,DRAGON MINING,N/A,1712.HK,N,N,N/A,
1716,MOST KWAI CHUNG,N/A,1716.HK,N,N,N/A,
1720,PUTIAN COMM,N/A,1720.HK,N,N,N/A,
1729,TIME INTERCON,N/A,1729.HK,N,N,N/A,
1735,CENTRAL NEW EGY,N/A,1735.HK,N,N,N/A,
1757,GLOBAL CHI BC,N/A,1757.HK,N,N,N/A,
1762,WANKA ONLINE,N/A,1762.HK,N,N,N/A,
1766,CRRC,N/A,1766.HK,N,N,N/A,
1768,BUSYMING,N/A,1768.HK,N,N,N/A,
1772,GANFENGLITHIUM,N/A,1772.HK,N,N,N/A,
1773,TIANLI INT HLDG,N/A,1773.HK,N,N,N/A,
1776,GF SEC,N/A,1776.HK,N,N,N/A,
1780,RONGZUN INT'L H,N/A,1780.HK,N,N,N/A,
1783,ENVISION GREEN,N/A,1783.HK,N,N,N/A,
1787,SD GOLD,N/A,1787.HK,N,N,N/A,
1788,GUOTAI JUNAN I,N/A,1788.HK,N,N,N/A,
1789,AK MEDICAL,N/A,1789.HK,N,N,N/A,
1797,EAST BUY,N/A,1797.HK,N,N,N/A,
1798,DATANG RENEW,N/A,1798.HK,N,N,N/A,
1799,XINTE ENERGY,N/A,1799.HK,N,N,N/A,
1800,CHINA COMM CONS,N/A,1800.HK,N,N,N/A,
1801,INNOVENT BIO,HSI,1801.HK,Y,Y,BOTH,
1810,XIAOMI-W,HSI,1810.HK,Y,Y,BOTH,
1811,CGN NEW ENERGY,N/A,1811.HK,N,N,N/A,
1815,EVEREST GOLD,N/A,1815.HK,N,N,N/A,
1816,CGN POWER,N/A,1816.HK,N,N,N/A,
1818,ZHAOJIN MINING,N/A,1818.HK,N,N,N/A,
1833,PA GOODDOCTOR,N/A,1833.HK,N,N,N/A,
1836,STELLA HOLDINGS,N/A,1836.HK,N,N,N/A,
1851,GINGKO EDU,N/A,1851.HK,N,N,N/A,
1858,CHUNLI MEDICAL,N/A,1858.HK,N,N,N/A,
